start,end,duration_hours,duration_minutes
2018-09-29 15:00:00,2018-09-30 13:45:00,22.75,1365.0
2018-09-30 13:50:00,2018-09-30 15:55:00,2.0833333333333335,125.0
2018-09-30 16:05:00,2018-09-30 16:45:00,0.6666666666666666,40.0
2018-09-30 16:50:00,2018-09-30 17:50:00,1.0,60.0
2018-09-30 18:20:00,2018-09-30 18:55:00,0.5833333333333334,35.0
2018-09-30 19:00:00,2018-10-01 13:20:00,18.333333333333332,1100.0
2018-10-01 13:25:00,2018-10-01 15:05:00,1.6666666666666667,100.0
2018-10-01 15:15:00,2018-10-01 16:20:00,1.0833333333333333,65.0
2018-10-01 16:25:00,2018-10-01 17:15:00,0.8333333333333334,50.0
2018-10-01 17:20:00,2018-10-01 21:40:00,4.333333333333333,260.0
2018-10-01 21:45:00,2018-10-02 00:05:00,2.3333333333333335,140.0
2018-10-02 00:10:00,2018-10-02 08:50:00,8.666666666666666,520.0
2018-10-02 08:55:00,2018-10-02 11:55:00,3.0,180.0
2018-10-02 12:00:00,2018-10-02 12:50:00,0.8333333333333334,50.0
2018-10-02 12:55:00,2018-10-02 13:45:00,0.8333333333333334,50.0
2018-10-02 15:50:00,2018-10-02 16:20:00,0.5,30.0
2018-10-02 19:25:00,2018-10-02 21:35:00,2.1666666666666665,130.0
2018-10-02 21:40:00,2018-10-02 23:20:00,1.6666666666666667,100.0
2018-10-03 00:25:00,2018-10-03 02:25:00,2.0,120.0
2018-10-03 02:55:00,2018-10-03 05:55:00,3.0,180.0
2018-10-03 06:00:00,2018-10-03 06:50:00,0.8333333333333334,50.0
2018-10-03 06:55:00,2018-10-03 08:00:00,1.0833333333333333,65.0
2018-10-03 14:10:00,2018-10-04 10:00:00,19.833333333333332,1190.0
2018-10-04 10:05:00,2018-10-04 10:40:00,0.5833333333333334,35.0
2018-10-04 10:45:00,2018-10-04 12:10:00,1.4166666666666667,85.0
2018-10-04 12:15:00,2018-10-04 20:50:00,8.583333333333334,515.0
2018-10-04 20:55:00,2018-10-04 22:30:00,1.5833333333333333,95.0
2018-10-04 23:05:00,2018-10-05 19:10:00,20.083333333333332,1205.0
2018-10-05 19:25:00,2018-10-06 00:35:00,5.166666666666667,310.0
2018-10-06 00:40:00,2018-10-07 14:30:00,37.833333333333336,2270.0
2018-10-07 14:55:00,2018-10-07 17:40:00,2.75,165.0
2018-10-07 18:05:00,2018-10-07 21:30:00,3.4166666666666665,205.0
2018-10-07 21:35:00,2018-10-07 22:30:00,0.9166666666666666,55.0
2018-10-07 22:50:00,2018-10-07 23:45:00,0.9166666666666666,55.0
2018-10-07 23:50:00,2018-10-08 12:20:00,12.5,750.0
2018-10-08 12:25:00,2018-10-09 07:00:00,18.583333333333332,1115.0
2018-10-09 07:05:00,2018-10-09 12:25:00,5.333333333333333,320.0
2018-10-09 12:55:00,2018-10-09 13:35:00,0.6666666666666666,40.0
2018-10-09 13:40:00,2018-10-12 11:50:00,70.16666666666667,4210.0
2018-10-12 12:00:00,2018-10-13 09:10:00,21.166666666666668,1270.0
2018-10-13 09:15:00,2018-10-13 11:40:00,2.4166666666666665,145.0
2018-10-13 11:45:00,2018-10-14 15:50:00,28.083333333333332,1685.0
2018-10-14 15:55:00,2018-10-15 05:25:00,13.5,810.0
2018-10-15 05:30:00,2018-10-15 22:45:00,17.25,1035.0
2018-10-15 22:50:00,2018-10-16 00:00:00,1.1666666666666667,70.0
2018-10-16 00:05:00,2018-10-16 08:15:00,8.166666666666666,490.0
2019-03-10 16:20:00,2019-03-10 19:10:00,2.8333333333333335,170.0
2019-03-11 01:05:00,2019-03-14 21:05:00,92.0,5520.0
2019-03-14 21:10:00,2019-03-16 22:15:00,49.083333333333336,2945.0
2019-05-06 18:00:00,2019-05-06 20:15:00,2.25,135.0
