start,end,duration_minutes,cluster,n_points,avg_anomaly_score,top_variable_1,top_variable_1_zscore,top_variable_2,top_variable_2_zscore,top_variable_3,top_variable_3_zscore
2017-03-26 01:50:00,2017-03-26 02:45:00,55.0,2,4,-0.6592750360717645,Cyclone_Inlet_Gas_Temp,3.621019276829242,Cyclone_Inlet_Draft,3.260758918066814,Cyclone_Outlet_Gas_draft,3.1986660015482298
2017-04-07 01:40:00,2017-04-07 02:35:00,55.0,2,3,-0.638680657700645,Cyclone_Inlet_Gas_Temp,4.217577676727399,Cyclone_Outlet_Gas_draft,2.3621797920089174,Cyclone_Inlet_Draft,2.2180696633059895
2017-06-01 00:20:00,2017-06-01 01:15:00,55.0,0,7,-0.6531659708668798,Cyclone_Inlet_Gas_Temp,3.9186688545978163,Cyclone_Outlet_Gas_draft,2.728417539317304,Cyclone_Inlet_Draft,2.673072208575134
2019-08-15 13:25:00,2019-08-15 14:20:00,55.0,2,5,-0.6384073703881548,Cyclone_cone_draft,3.2456746102230634,Cyclone_Inlet_Draft,2.5094038559604983,Cyclone_Outlet_Gas_draft,2.1760984419709897
2018-04-17 03:05:00,2018-04-17 04:00:00,55.0,2,4,-0.630884926342189,Cyclone_cone_draft,3.2338999061963922,Cyclone_Outlet_Gas_draft,3.080965702489032,Cyclone_Inlet_Draft,2.9903210657389705
2018-04-04 03:55:00,2018-04-04 04:50:00,55.0,0,8,-0.640782738353227,Cyclone_Inlet_Draft,3.334043618228042,Cyclone_Outlet_Gas_draft,3.2592263463476447,Cyclone_cone_draft,2.92746517393403
2019-06-03 01:10:00,2019-06-03 02:05:00,55.0,2,8,-0.6510904270930805,Cyclone_cone_draft,4.33179240165727,Cyclone_Inlet_Draft,4.283495622844821,Cyclone_Outlet_Gas_draft,4.274877229400507
2018-01-16 18:45:00,2018-01-16 19:40:00,55.0,4,6,-0.6525299369499247,Cyclone_cone_draft,7.676020272593583,Cyclone_Outlet_Gas_draft,7.460438500908027,Cyclone_Inlet_Draft,6.073123999079152
2018-02-01 17:15:00,2018-02-01 18:10:00,55.0,0,9,-0.697423242579322,Cyclone_Inlet_Draft,4.752723043895173,Cyclone_cone_draft,4.554153115983165,Cyclone_Outlet_Gas_draft,4.543050138003669
2020-03-08 07:00:00,2020-03-08 07:55:00,55.0,2,7,-0.6020439202168959,Cyclone_Material_Temp,5.685575212120095,Cyclone_Outlet_Gas_draft,2.374478909198453,Cyclone_Inlet_Draft,2.3461146636996473
